,text
0,"키보드 컨트롤 안내
■ 인용보도 시 프로그램명 'JTBC 상암동 클라스'를 밝혀주시기 바랍니다. 저작권은 JTBC에 있습니다.
■ 방송 : JTBC 상암동 클라스 / 진행 : 이가혁·백다혜

[앵커]

'상클라이프' 시간입니다. 인생은 길고, 배움에는 끝이 없다고 하죠. 매주 월요일엔 만나고 싶었던 전문가와 함께, 남녀노소 누구나 다양한 지식을 채울 수 있는 시간 가져봅니다. 오늘 함께하실 분 먼저 만나보죠. 영화 '살인의 추억' 송강호씨가 맡았던 '형사 역할'의 모델로 알려진 분이죠. 32년간 강력계 형사로, 이제는 범죄학자이자 52만 구독자를 둔 '인기 유튜버'로 활약하고 계신 분이죠! 범죄학 박사, 한국범죄학연구소 김복준 연구위원 나오셨습니다. 

· 32년 경찰 생활 중 가장 힘들었던 사건은? 
· 범죄로 일상이 무너진 사람들의 모습은?
· 범죄 다루는 유튜브 채널을 시작한 이유는?
· 나에게 흉기 난동 사건이 닥친다면…대응법은?

(* 자세한 내용은 영상을 통해 확인하실 수 있습니다.)"
1,"키보드 컨트롤 안내
[기자]

한 중고거래 플랫폼에 최근 ""학교폭력 피해자 도와드립니다""라는 제목의 글이 올라왔습니다.

글에는 ""학교 폭력을 당하고 있는 초, 중, 고등학생들 편하게 연락 달라. 익명 상담 가능""이라고 쓰여 있는데요.

이어 ""좋은 일 한다는 생각으로 도와드린다""며 ""보복당할까봐 걱정하는 분들 편하게 연락 달라. 최대한 도와드리겠다""고 덧붙였습니다.

[앵커]

신종 아르바이트인 걸까요? 더 구체적인 내용은 없나요?

[기자]

네, 가격이나 구체적인 거래 조건 같은 건 적혀 있지 않았는데요.

온라인 커뮤니티에선 ""새로운 업종이 등장했다""는 말과 함께, 이 글이 공유되고 있습니다.

학폭이 논란이 되면서 조언을 주겠다는 선의의 유경험자들인지, 아니면 학폭 관련 상담을 유치하려 변호사들의 광고인지 이것만 봐선 알 수가 없습니다.

이 글을 본 누리꾼들의 반응은 엇갈리고 있습니다.

누리꾼들은 ""험상궂은 외모의 해결사가 가해자들 겁주려는 건가"", ""순진한 아이들 범죄에 악용하려는 거 아니냐"" 등의 반응을 보였습니다.

[앵커]

일부 누리꾼들이 걱정하는 것처럼 피해자들의 간절한 마음을 악용하려는 목적은 아니기를 바랍니다. 

(화면출처 : 당근)"
2,"[기자]

서울 강남 일대에서 약물에 취한 채 차량을 몰다 20대 여성을 들이받은 운전자, 피해 여성은 뇌사 상태에 빠졌습니다. 사건을 놓고 석연치 않은 대목이 많았었는데요.

이른바 롤스로이스 사건, 당시 화면을 볼까요.

한 남성이 비틀거리면서 병원을 나옵니다. 휘청이며 걷다가 도로를 무단횡단합니다.

이 남성이 몰던 롤스로이스 차량은 100m도 못가 인도로 돌진해 여성을 치었습니다.

롤스로이스를 몰던 20대 신모 씨의 집을 검찰이 압수수색했는데요.

1억원이 넘는 돈다발이 나왔습니다.

검찰은 이 돈이 신씨의 폭력조직 활동 수익과 관련이 있는 것으로 보고 수사하고 있습니다.

[기자]

신 씨의 폭력조직이 이른바 '또래 모임'이라고 불리는 새로운 조직폭력 유형으로 보인다고요?

[기자]

'또래 모임'은 20·30대 폭력배가 조직을 넘나들며 비슷한 나이대끼리 모이는 형태를 일컫습니다. 애초 조직 폭력배 하면 어떤 도시 이름이라든지, 지역을 연고로 활동하는 게 많았던 것과는 다른 개념인거죠. 검찰은 신씨 자택에서 찾은 돈이 조폭 활동으로 부당하게 거둔 수익일 가능성이 있다고 보고 있습니다.

[앵커]

앞서 롤스로이스를 몰다 사고를 낸 영상 다시 한 번 볼까요? 비틀거리며 나오는 모습, 약물에 취해 몸을 가누지 못하는 모습이었죠. 그런데 애초 신 씨는 마약혐의를 부인했었죠. 답변 내용 보시죠.

[신모 씨/롤스로이스 사고 가해자 : {약물 과다 투약한 거 아닌가요?} 아닙니다.]

[기자]

하지만 경찰 수사 결과 이 남성은 하루 만에 수면마취제 등을 두 번이나 맞은 걸로 드러났습니다. 이후에 다른 인터뷰도 보실까요?

[신씨/롤스로이스 사고 피의자 : {약물 과다복용 혐의 인정하십니까? 피해자나 가족들에게 하실 말씀 없으신가요?} 죄송합니다. 진심으로 사죄드리겠습니다. 죄송합니다.]

[기자]

죄송하다고 얘기했지만 늦어도 너무 늦은 사과입니다. 이 차에 치인 여성은 다리와 머리를 크게 다쳐 뇌사 상태입니다.

[앵커]

신 씨는 사고 당일 병원에서 향정신성의약품을 처방받았는데요, '치료 목적이었다'지만 신씨는 피부시술로 수면마취제를 맞고 깨어나자마자 한번 더 맞았다고요?

[기자]

그렇습니다. 신 씨가 마약류를 구한 곳은 병원이었습니다. 강남 일대의 성형외과 등을 돌며 약을 처방 받았습니다. 피해자 측은 지난 2월부터 신 씨에게 비슷한 약물을 처방해준 의사 3명을 고발했습니다.

[앵커]

이 때문에 일부 의사들이 사실상 마약류 공급책으로 전락한 것 아니냐는 문제도 제기되고 있죠?

[기자]

지난 6월 한 수도권 마약류 중독 치료보호기관에선 서울 강남권 의원에 공문을 보냈는데, 향정신성의약품 처방을 자제해달라는 내용이었습니다.

범정부 차원에서 '마약과의 전쟁'을 전개하고 있지만, 꾸준히 증가 중인 의료인들의 마약 범죄는 사실상 사각지대에 방치되고 있습니다.

[앵커]

이런 약품들, 고통을 줄이기 위해서 의료적으로 꼭 써야 할 때는 쓰는 건 당연합니다. 하지만 관리 부실로 인한 불법 투약은 막아야겠습니다. 마약류 관리법에 따라 식약처에서는 마약류 감시원을 임명할 수 있는데요, 퇴직 전문가들을 활용해 감시망을 촘촘히 할 필요가 있겠습니다.

(화면제공 : 유튜브 '카라큘라 탐정사무소')"
3,"[기자]

요즘 중고 거래 이용하는 분들 많은데요. 흉악범죄가 증가하면서 중고 거래도 '비대면 거래'가 늘고 있습니다.

영화 '타겟' 입니다. 중고거래를 했을 뿐인데 범인의 표적이 되는 내용을 다뤘는데 개봉 첫 주에 26만 관객을 돌파했습니다. 일상 속에서 벌어지는 공포를 현실감 있게 다룬 게 흥행이 비결로 분석됩니다.

[앵커]

박스 오피스 순위로는 전체 2위고 한국영화 중에는 1위를 차지했는데, 그만큼 공감대를 얻고 있다고 봐야겠죠?

[기자]

네, 주인공이 중고거래를 했는데 고장 난 물건이 왔습니다. 판매자가 사기꾼이었던거죠.

그래서 주인공이 이 사기꾼 판매자가 올린 다른 게시글마다 ""이 사람 사기꾼이다""라고 댓글을 달았는데요, 그날 이후 모르는 사람이 집에 찾아오는 등 이상한 일들이 생깁니다. 결국 협박 수위를 높이며 살해 위협까지 하는 상황이 이어집니다.

[앵커]

와, 정말 실제로 일어날 수 있는 내용이라 더 무섭게 느껴지는데요, 직거래를 할 때, 집 현관에 걸어두거나, 우편함에 넣어달라는 경우도 많잖아요. 그럴 경우 아무래도 집 주소가 노출되니까 불안하고 꺼려지는 것 같습니다.

[기자]

그래서 저는 요즘 거래할 때 집으로 배달시키는 것보다 아예, 편의점 택배 등을 이용하거든요.

[앵커]

아무래도 요즘 흉악범죄가 늘고 있어서 더 조심하게 되는 것 같습니다. 저는 중고거래를 하게 되면 아내보다는 제가 주로 나가서 거래하게 되거든요. 사람 많은 곳에서, 안전한 CCTV 있는 지하철역 같은 데서.

[기자]

애초 중고거래의 특징은 판매자와 함께 상품의 품질이나 정품 여부를 확인하기 위해 직거래를 선호했는데요, 잇단 흉악범죄로 사회적 불안감이 커지자 대면 거래를 기피하고 있는 건데요.

국내 중고거래 앱 중 하나인 '번개장터'의 택배 서비스 누적 이용 건수는 2021년 7월 약 300만 건에서 올해 7월 약 천200만 건으로 4배가량 늘었습니다.

[앵커]

앞서 도시락 있슈에서 다뤘는데, 고가의 시계를 중고거래하다가 시계를 빼았고 폭행까지 한 경우도 있었잖아요.

[기자]

네, 빼앗은 시계는 롤렉스로 천 200만 원 상당이었죠.

[기자]

예전에는 안 쓰는 물건을 이웃에게 무료로 나누면서 집 앞으로 와 받아 가라고 했지만 요즘에는 주소를 노출하기가 불안해 아예 나눔 자체를 그만뒀다는 분도 계시더라고요.

[앵커]

실제 대면으로 중고 거래에 나섰다가 범죄에 휘말린 경우가 늘면서 비대면 거래는 앞으로도 계속 늘어날 것으로 보입니다. 무엇보다도 안전이 가장 중요하니까, 거래할때도 신중하게, 주의를 해야겠습니다. "
4,"'무빙'
디즈니+ 시리즈 '무빙'이 8월 5주 차 통합 콘텐트 랭킹 1위를 차지했다고 OTT 통합검색 및 추천 플랫폼 키노라이츠가 4일 전했다.


'무빙'은 초능력을 숨긴 채 현재를 살아가는 아이들과, 과거의 아픈 비밀을 숨긴 채 살아온 부모들이 거대한 위험에 함께 맞서는 초능력 액션 히어로물이다.

8월 18일 공개된 넷플릭스 시리즈 '마스크걸'은 지난 주에 이어 2위를 차지했다. '마스크걸'은 지독한 외모 콤플렉스를 가진 평범한 회사원 김모미가 밤마다 인터넷 BJ로 변신하며 예상치 못한 사건들을 맞이하게 되는 이야기다.

이어 MBC 금토극 '연인'이 3위에 진입했다. 병자호란을 겪으며 엇갈리는 연인들의 사랑과 백성들의 생명력을 다룬 휴먼역사멜로 드라마로, 4화를 기점으로 동시간대 시청률 1위를 차지하고 있다.

4위는 SBS 금토극 '소방서 옆 경찰서 그리고 국과수'가 차지했다. 화재 잡는 소방, 범죄 잡는 경찰, 증거 잡는 국과수가 전대미문의 사건과 맞서는 공조를 그린 드라마다.

이어 ENA 드라마 '남남'이 5위에 올랐다. '남남'은 철부지 엄마와 쿨한 딸의 '남남' 같은 한 집 살이를 그린 드라마로, 모녀로 변신한 전혜진과 수영의 케미스트리로 많은 사랑을 받았다. 지난 8월 23일 자체 최고 시청률로 종영한 바 있다.

박정선 엔터뉴스팀 기자 park.jungsun@jtbc.co.kr (콘텐트비즈니스본부)"
5,"신작의 힘이 통했다.

영화진흥위원회 영화관입장권통합전산망에 따르면 지난 달 30일 개봉한 영화 '타켓(박희곤 감독)'은 개봉 첫 주 주말 16만7601명을 끌어모아 누적관객수 26만913명을 기록했다.

박스오피스 순위는 전체 2위로, 1위 '오펜하이머'의 아성을 넘어서지는 못했지만, 한국 영화 중에서는 1위를 차지해 2위 판도를 바꿨다.

특히 스릴러 장르의 '타겟'은 늦여름 줄줄이 개봉을 앞두고 있는 스릴러·호러·공포 영화의 포문을 기분 좋게 활짝 열어 의미를 더한다. '타겟'을 기점으로 당분간 서늘한 바람이 극장을 감쌀 것으로 기대를 모은다.

'타겟'은 중고거래로 범죄의 표적이 된 수현의 일상 속에서 벌어지는 서스펜스를 담은 현실 공감 스릴러 영화다. 신혜선 김성균 이주영 강태오 등이 열연했다.

조연경 엔터뉴스팀 기자 cho.yeongyeong@jtbc.co.kr (콘텐트비즈니스본부)"
6,"이주호 사회부총리 겸 교육부 장관. 〈사진=연합뉴스〉
서울 서초구 서이초등학교에서 숨진 교사의 49재가 하루 앞으로 다가왔습니다.

전국 교사들이 추모일인 내일(4일) 연가를 내고 '공교육 멈춤의 날' 참여를 예고한 가운데, 이주호 사회부총리 겸 교육부 장관은 ""선생님들께서는 우리 학생들 곁에서 학교를 지켜달라""고 촉구했습니다.

이 부총리는 오늘(3일) 호소문을 내고 ""고인이 된 선생님을 향한 추모의 뜻과 무너져 내린 교권을 회복해야 한다는 마음은 교육부도 선생님들과 절대 다르지 않다""며 이렇게 밝혔습니다.

또 ""지난 몇 주간 무더운 날씨 속에서 선생님들이 절박한 심정으로 호소하신 외침을 들으며 선생님들의 열정 이면에 얼마나 많은 상처가 있었는지 잘 알게 됐다""면서 ""선생님들의 교권 회복에 대한 외침과 정상적인 교육 활동 보장을 요구하시는 진정성에 다시 한번 고개 숙이게 된다""고 말했습니다.

이 부총리는 ""교육부는 비록 짧은 시간이지만 선생님들의 목소리를 반영한 교권 회복 및 보호 강화 종합 방안과 교원의 학생생활지도 고시 등을 마련했다""며 ""선생님들의 정당한 교육 활동이 아동학대 범죄와 구분될 수 있도록 교권 보호를 위한 법률들의 신속한 입법을 위해 국회에 적극 요청하고 있다""고 설명했습니다.

그러면서 ""학교 현장에서 여전히 부족하다고 느끼는 점에 대해서는 현장 교사들과 직접적인 소통 채널을 확대하고 거기서 나온 목소리를 담아 정책을 보완하고 개선하겠다""고 강조했습니다.

이 부총리는 ""우리 학생들에게는 선생님이 필요하다""며 ""선생님들께서는 우리 학생들 곁에서 학교를 지켜달라""고 요청했습니다.

이어 ""교육부는 선생님들이 소망하는 신뢰와 존중 그리고 사랑이 가득한 교실, 모든 교육 주체들이 행복하게 가르치고 배울 수 있는 학교를 만들기 위해 최선을 다하겠다""고 덧붙였습니다.
 교사들이 2일 오후 서울 영등포구 국회대로에서 '50만 교원 총궐기 추모 집회'를 열고 구호를 외치고 있는 모습. 〈사진=연합뉴스〉
앞서 지난 7월 18일 서이초 교사가 스스로 목숨을 끊은 후 전북 군산시 초등학교 교사, 서울 양천구 초등학교 교사가 잇따라 세상을 등졌습니다.

전국의 교사들은 공교육을 바로 세우자는 취지로 서이초 교사의 49재를 '9·4 공교육 멈춤의 날'로 정하고 대규모 집회를 예고한 상태입니다."
7,"〈사진-JTBC 캡쳐〉
비정규직 여성 노동자 5명 가운데 2명은 직장 내 성희롱을 경험했다는 설문조사 결과가 나왔습니다.


시민단체 직장갑질119는 오는 14일 '신당역 스토킹 살인 사건' 1년을 앞두고 직장인 1000명에게 젠더폭력 문제를 설문한 결과 이같이 나타났다고 오늘(3일) 밝혔습니다.

전체 응답자 4명 가운데 1명(26%)은 '직장 내 성희롱을 경험한 적이 있다'고 답했습니다. 여성(35.2%)이 남성(18.9%)보다, 비정규직(31%)이 정규직(22.7%)보다 성희롱을 당했다고 응답한 비율이 높았습니다.

특히 비정규직 여성은 38.4%가 성희롱을 당한 적이 있다고 답했습니다.

가해자는 '임원이 아닌 상급자'가 47.7%로 가장 많았습니다. 대표·임원·경영진 등 사용자가 21.5%로 뒤를 이었습니다. 가해자 성별은 여성의 88.2%가 '이성', 남성의 42.1%가 '동성'이라고 답했습니다.

전체 응답자의 8%는 직장 내 스토킹을 경험했다고 응답했습니다. 스토킹 역시 여성(10.1%)이 남성(6.4%)보다, 비정규직(12.5%)이 정규직(5%)보다 많이 경험했습니다.

비정규직 여성의 스토킹 피해 경험은 14.7%로 정규직 남성(5%)의 세 배 수준이었습니다.

스토킹을 당하고 나서는 '참거나 모르는 척했다'는 응답이 67.5%로 가장 많았습니다. '회사를 그만뒀다'가 30%, '개인 또는 동료들과 항의했다'가 22.5%로 뒤를 이었습니다.

지난해 10월 스토킹 처벌법이 시행된 이후 스토킹이 줄었는지 묻는 말에는 응답자의 72.6%가 '줄어들지 않았다'고 답했습니다.

'직장 내 성추행·성폭행 경험'은 응답자의 15.1%가 '있다'고 답했습니다.

이 비율은 여성(24.1%)이 남성(8.1%)의 세 배, 비정규직(22.3%)이 정규직(10.3%)의 두 배에 달했습니다. 여성 비정규직은 29.7%가 직장 내 성추행·성폭행을 경험했다고 답했습니다.

직장갑질119는 제보받은 성범죄 사례도 공개했습니다.

직장인 A씨는 ""사내에서 잠시 사귀다 헤어진 가해자가 집 앞에 찾아오거나 지속해서 연락하고 욕설해 스토킹 행위로 경찰에 신고했다. 그런데 가해자의 가족이 이사장과 아는 사이라서 오히려 해고 통지를 받았다""고 제보했습니다.

B씨는 ""사장 아들인 상사가 입사 초반 제 몸을 두 번 정도 만졌다. '남자는 성욕이 본능이다'라는 말을 자주 하고 퇴근 이후 개인적으로 불러내기도 했다""며 ""문제를 제기하니 권고사직으로 처리한다며 이른 시일 내로 나가라고 한다""고 전했습니다.

이번 조사는 직장갑질119와 아름다운재단이 여론조사 전문기관 엠브레인 퍼블릭에 의뢰해 지난달 2∼10일 만 19세 이상 직장인 1000명을 대상으로 했습니다."
8,"'힙하게' 한지민, 이민기가 입덕 부정기를 시작했다.

지난 2일 방송된 JTBC 토일드라마 '힙하게'(연출 김석윤, 극본 이남규, 제작 스튜디오 피닉스·SLL) 7회는 연쇄살인으로 무진이 뒤숭숭한 가운데 '예열 콤비' 봉예분(한지민 분)과 문장열(이민기 분)의 미묘한 감정의 변화가 설렘을 선사했다.

통쾌하고 설레기까지 한 공조 수사에 시청자들의 반응이 뜨거웠다. 7회 시청률은 전국 5.5% 수도권 5.7%(닐슨코리아, 유료가구 기준)를 기록, 동시간대 비지상파 1위를 이어갔다. 수도권 2049 타깃 시청률은 2.2%를 나타냈다.

봉예분과 문장열은 어느새 서로에게 스며들고 있었다. ""둘이 무슨 사이여? 막 그런 사이여?""라고 능구렁이가 담을 타고 가듯 묻는 '눈치 백단' 원종묵(김희원 분). 봉예분은 아니라고 펄쩍 뛰었지만 문장열을 신경 쓰는 마음을 숨길 수 없었다. 친동생 같은 박승길(최지혁 분)을 잃고 다치기까지 한 문장열을 걱정한 것. ""없으니깐 속이 다 시원하네""라는 마음과 다른 봉예분의 '문장열 입덕 부정기'는 어색하기 짝이 없었다.

문장열 역시 봉예분을 향한 눈빛이 달라져 있었다. ""나한텐 지금 너 밖에 없어. 승길이를 위해서 내가 해줄 수 있는 건 범인 잡는 것밖에 없어. 부탁할게""라고 도와달라는 문장열의 애절한 눈빛은 봉예분의 마음을 움직였다. 뿐만 아니었다. 문장열은 밤늦게 혼자 왕진을 간다는 봉예분을 걱정하며 데려다 주겠다고 나섰다. ""너 없인 안되잖아""라는 무심한 듯 훅 치고 들어오는 문장열의 '심쿵' 한 마디에 봉예분은 두근거렸다. 하지만 이내 ""범인은 누가 잡아?""라는 문장열의 마음과 다른 변명에 실망하는 봉예분은 미소를 유발했다.

봉예분과 문장열의 신박한 수사 덕분에 박승길을 죽인 범인을 찾는데 진척이 있었다. 박승길은 백사장(김병희 분)이 죽인 게 아니었다. 마구잡이로 찔린 박승길을 보며 문장열과 원종묵은 범인은 사람을 죽일 줄 아는 '프로'가 아니라고 확신했다. 봉예분은 사이코메트리로 범인이 판초 우의를 입고 비틀거렸으며 장미 무늬 칼을 들고 있었다는 것을 알았다. 하지만 무진 집집마다 있는 판초 우의와 장미 무늬 칼로는 범인을 잡을 수 없었다. 무진 사람 누구나 범인이 될 수 있다는 것, 비가 오지 않았는데도 피가 튈까 판초 우의를 입고 살인을 저지른 계획 범죄라는 것은 의미심장했다.

BJ 시아양(최희진 분)이 끝내 사체로 발견된 가운데 무진 사람들의 수상쩍은 행적은 긴장감을 높였다. 문장열과 강력반 형사들은 시아양이 마지막으로 결제한 편의점의 알바생 김선우(수호 분)를 시작으로 그가 죽기 전 행적을 쫓았다. 누구 하나 의심스럽지 않은 사람이 없었다. 병원에서 시아양과 말다툼을 했던 정현옥(박성연 분)부터 홍보 영상 대가로 거액을 입금한 후 시아양이 죽자 이상한 말 나오지 않게 기자 입단속을 시킨 차주만(이승준 분), 시아양 때문에 깨진 가정이 한둘이 아닐 거라며 벌받은 거라는 말과 함께 과거 달았던 악플을 삭제한 나미란(정이랑 분)은 의구심을 증폭시켰다. 무엇보다도 시아양과 교통사고가 날 뻔 했던 전광식(박노식 분)은 문장열에게 사이메트리를 시도하는 수상한 행동을 했다.

강력 범죄가 없던 무진에서 발생한 두 건의 살인 사건, 문장열은 연쇄살인을 의심했다. 연쇄살인 동기와 피해자간의 접점을 찾지 못했지만 원종묵은 문장열을 믿었다. 문장열은 원종묵의 소원대로 무사히 정년퇴임하고 크루즈를 타게 해주겠다고 약속했다.

연달아 벌어진 살해 사건에 무진은 뒤숭숭했다. 차주만은 재선이 되면 CCTV를 확충해서 다시 범죄 없는 무진을 만들겠다고 환심을 사는데 몰두했다. 앞서 차주만을 향해 알 수 없는 서늘한 눈빛을 보였던 김선우는 ""이 와중에도 선거 운동을 하시네요""라고 불편한 심기를 드러내 긴장감을 더했다.

생계형 무당 박종배(박혁권 분)는 돈 벌 궁리로 마을 사람들을 부추겨 굿판을 열었다. 하지만 충격적인 일이 벌어졌다. '신빨'이 떨어져 헛다리만 짚던 박종배가 박승길과 시아양으로 빙의를 한 것. 박종배를 통해 전달된 ""여기 나 죽인 사람이 있어요""라는 피해자들의 소름 끼치는 목소리는 모두를 충격에 몰아넣었다. 이어진 박종배의 혼절은 무진 사람들을 혼란에 빠뜨렸다. 쓰러진 박종배를 보는 어쩐지 수상한 마을 사람들의 의미심장한 표정까지 의구심을 증폭시켰다.

한편 '5551 커플'의 변화가 예고됐다. 정현옥은 자신을 따뜻한 사람이라고 두둔하는 원종묵을 우연히 본 후 울컥했다. 원종묵과 다시 잘해보고 싶었지만 상처받은 그의 마음을 돌리는데 시간이 필요했던 정현옥. 원종묵의 진심을 알게 된 정현옥이었지만, 두 사람 사이에 장애물이 나타났다. 정현옥의 전 남편 안경택(이윤재 분)이 재결합을 하자며 불쑥 찾아온 것. 배옥희(주민경 분)와 김용명(김용명 분)의 사이에도 묘한 기류가 감지됐다. 없던 인연도 만들어준다는 박종배의 부적이 번지수를 잘못 찾아갔다. 부적의 효험이 발휘된 것인지 아닌지 알 수 없는 가운데 배옥희와 김용명이 서로에게 반하는 전개로 궁금증을 안겼다.

한편, JTBC 토일드라마 '힙하게' 8회는 오늘(3일) 밤 10시 30분 방송된다.

(사진제공 : JTBC '힙하게' 7회 방송 캡처)"
9,"더불어민주당 이재명 대표가 오늘(1일) 국회 단식농성장에서 열린 최고위원회의에서 발언을 하고 있다. 〈사진=연합뉴스〉

더불어민주당 이재명 대표의 대장동·위례신도시 개발 특혜 혐의 첫 재판이 오는 15일로 예정됐지만, 이 대표가 단식을 이어가면서 출석이 불투명해졌습니다.

서울중앙지법 형사합의 33부(김동현 부장판사)는 오늘(1일) 이 대표와 정진상 전 민주당 대표실 정무조정실장의 6차 공판 준비 기일을 열고, 오는 15일을 첫 공판 기일로 지정했습니다.

이런 가운데 재판부는 ""기사를 보니 이 대표가 단식을 한다고 하는데 15일에 출석이 가능하냐""고 물으며 ""그 부분이 걱정""이라고 했습니다.

이에 대해 이 대표 측 변호인은 ""9월 15일이면 이 대표 건강이 좋지 않을 것 같아 출석이 가능할지 모르겠다""고 답했습니다.

그러자 재판부는 ""중대한 사정이 생기면 순연하는 걸로 하자""고 말했습니다.

이 대표가 전날 무기한 단식 투쟁을 시작한 가운데 재판부는 이 대표가 건강상 문제로 15일 첫 재판에 출석하지 못할 가능성을 고려한 것으로 보입니다.

재판부는 이 대표의 대장동·위례신도시 개발 특혜 혐의 재판과 그동안 별도로 진행된 정 전 실장 뇌물 수수 혐의 재판을 병합한다는 방침입니다.

이 대표는 지난 3월 22일 대장동·위례 신도시 개발 특혜 혐의, 성남FC 후원금 의혹 등과 관련해 특정경제범죄가중처벌법상 배임, 이해충돌방지법과 부패방지법 위반 등 혐의로 기소됐습니다.

이후 공소 사실과 공판 진행 절차를 두고 검찰과 이 대표 측 변호인의 의견 차가 좁혀지지 않으면서 5개월 넘게 재판 준비 절차가 이어졌습니다.




 "
