,2015db_fs11,badge_gray,scoreDiv_fwb,formBox,fs11
0,KBL,일반,"부산KT
점수
60 :
점수
72 서울SK","승
2.30
-패
1.35","01.01 (목)
14:00"
1,KBL,핸디캡,"부산KT
점수
64.5
H +4.5
:
점수
72 서울SK","승
1.69
-패
1.71","01.01 (목)
14:00"
2,KBL,언더오버,"부산KT
U/O 146.5
사전조건 변경
총 점수
132 서울SK","U
1.75
-O
1.65","01.01 (목)
14:00"
3,KBL,일반,"원주동부
점수
81 :
점수
72 안양KGC","승
1.22배당률 하락
-패
2.80배당률 상승","01.01 (목)
14:00"
4,KBL,핸디캡,"원주동부
점수
74.5
H -6.5
사전조건 변경
:
점수
72 안양KGC","승
1.71
-패
1.69","01.01 (목)
14:00"
5,KBL,언더오버,"원주동부
U/O 144.5
사전조건 변경
총 점수
153 안양KGC","U
1.66
-O
1.74","01.01 (목)
14:00"
6,KOVO,일반,"현대캐피
점수
0 :
점수
3 대한항공","승
1.39
-패
2.19","01.01 (목)
14:00"
7,KOVO,핸디캡,"현대캐피
점수
-1.5
H -1.5
:
점수
3 대한항공","승
1.65배당률 상승
-패
1.75배당률 하락","01.01 (목)
14:00"
8,KOVO,언더오버,"현대캐피
U/O 179.5
총 점수
142 대한항공","U
1.94배당률 상승
-O
1.51배당률 하락","01.01 (목)
14:00"
9,KBL,일반,"서울삼성
점수
69 :
점수
71 KCC","승
1.66
-패
1.74","01.01 (목)
16:00"
10,KBL,핸디캡,"서울삼성
점수
66.5
H -2.5
사전조건 변경
:
점수
71 KCC","승
1.76
-패
1.64","01.01 (목)
16:00"
11,KBL,언더오버,"서울삼성
U/O 152.5
총 점수
140 KCC","U
1.69
-O
1.71","01.01 (목)
16:00"
12,KOVO,일반,"IBK
점수
3 :
점수
1 흥국생명","승
1.26
-패
2.61","01.01 (목)
16:00"
13,KOVO,핸디캡,"IBK
점수
1.5
H -1.5
:
점수
1 흥국생명","승
1.51
-패
1.94","01.01 (목)
16:00"
14,KOVO,언더오버,"IBK
U/O 176.5
총 점수
164 흥국생명","U
1.81배당률 상승
-O
1.60배당률 하락","01.01 (목)
16:00"
15,WKBL,일반,"우리은행
점수
84 :
점수
75 하나외환","승
1.02
-패
5.10","01.01 (목)
19:00"
16,WKBL,핸디캡,"우리은행
점수
75.5
H -8.5
사전조건 변경
:
점수
75 하나외환","승
1.67
-패
1.73","01.01 (목)
19:00"
17,WKBL,언더오버,"우리은행
U/O 132.5
총 점수
159 하나외환","U
1.75
-O
1.65","01.01 (목)
19:00"
18,SPL,일반,"던디U
점수
6 :
점수
2 던디FC","승
1.58배당률 하락
무
3.40배당률 상승
패
4.00배당률 상승","01.01 (목)
21:15"
19,EPL,일반,"스토크
점수
1 :
점수
1 맨체스U","승
4.20배당률 상승
무
3.45배당률 상승
패
1.54배당률 하락","01.01 (목)
21:45"
20,EPL,핸디캡,"스토크
점수
2
H +1.0
:
점수
1 맨체스U","승
1.97배당률 상승
무
3.15배당률 하락
패
2.85배당률 하락","01.01 (목)
21:45"
21,EPL,일반,"애스턴
점수
0 :
점수
0 크리스탈","승
2.01배당률 하락
무
3.00
패
2.90배당률 상승","01.02 (금)
00:00"
22,EPL,일반,"헐시티
점수
2 :
점수
0 에버턴","승
2.85배당률 상승
무
2.95배당률 하락
패
2.06배당률 하락","01.02 (금)
00:00"
23,EPL,일반,"리버풀
점수
2 :
점수
2 레스터","승
1.25배당률 하락
무
4.20배당률 상승
패
7.20배당률 상승","01.02 (금)
00:00"
24,EPL,핸디캡,"리버풀
점수
1
H -1.0
:
점수
2 레스터","승
1.91배당률 하락
무
3.30
패
2.85배당률 상승","01.02 (금)
00:00"
